soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
Blues For A Red Planet,BFRP 73 /// Sundancers,ultimate,7,2020-08-14 03:13:03.275000+00:00,blues.for.a.red.planet,34,78,187,1.00%,3.90,0.00
Blur Official,The Universal,indie,4459,2020-08-11 14:19:01.528000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bob Marley & The Wailers,Sun Is Shining (feat. Robin Schulz),ultimate,19500.0,2020-08-13 03:33:27.436000+00:00,bobmarley,n/a,n/a,n/a,n/a,n/a,n/a
Bob Vylan,We Live Here,ultimate,0,2020-08-13 03:20:29.461000+00:00,bobbyvylan,128,"8,786",987,12.82%,"1,071.85",54.20
Bombay Bicycle Club,Always Like This,indie,47600.0,2020-08-11 14:07:09.954000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Bon Entendeur,Bon Entendeur Radio invite : Bosq (Exclusive Mix #18),ultimate,7428,2020-08-14 03:06:46.233000+00:00,bon_entendeur,415,"51,148",386,3.19%,"1,601.00",32.35
Boston Manor,Liquid (feat. John Floreani),ultimate,2837,2020-08-13 03:25:04.068000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
BoyW1DR,Tick,rap,316,2020-08-12 20:14:22.167000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Brandon,Weep,indie,8133,2020-08-11 00:59:59.769000+00:00,chocolate.devotion,n/a,n/a,n/a,n/a,n/a,n/a
Brandon Curry,euphoria,indie,28200.0,2020-08-11 00:50:00.305000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Brandy,Baby Mama (feat. Chance The Rapper),ultimate,63900.0,2020-08-13 01:18:42.339000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Breach,Jack,ultimate,0,2020-08-13 03:42:06.090000+00:00,benwestbeech,"2,339","15,038","4,340",1.98%,268.10,29.45
