soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
CRISTIAN GOMEZ VASQUEZ,"princesa de mis sueños, se ve tan mona",ultimate,8199,2020-08-14 03:11:29.011000+00:00,taponcr,,,,,,,
CRUCAST,Skepsis & TS7 - Freak,ultimate,36000,2020-08-13 03:35:17.235000+00:00,skepsismusicuk,645,"65,105",114,2.37%,"1,475.80",67.55,1543
CRi,Runaway,ultimate,8242,2020-08-16 19:07:54.776000+00:00,crimusic,108,"4,673",793,8.31%,358.95,29.55,388
CULTURE SHOCK,Visions,ultimate,10200,2020-08-13 03:35:33.777000+00:00,cultureshock,109,"30,491",578,6.31%,"1,884.30",41.15,1924
CadetCadet,Advice,rap,244000,2020-08-12 20:28:33.594000+00:00,callmecadet,193,"526,480","1,297",10.64%,"54,665.60","1,334.20",56017
Caesars,Jerk It Out,indie,138000,2020-08-11 13:55:34.703000+00:00,,,,,,,,
Cake,The Distance,indie,140000,2020-08-11 14:16:09.560000+00:00,,,,,,,,
CallMeGreen,(200 followers special)[Swapswap: Faithlessness] Phase 3: Skulliosis II (Ft. ZeroZX) [+FLP],ultimate,8563,2020-08-16 19:08:42.895000+00:00,,,,,,,,
Calum Scott Music,Dancing On My Own,indie,19100000,2020-08-11 01:32:28.211000+00:00,calumscott,"1,266","764,078",592,4.83%,"36,329.60",570.25,36905
Camel,You Know That I Don't Play (Ft. Shiloh),indie,3696,2020-08-11 01:01:26.327000+00:00,,,,,,,,
Capoeira Angola,JULIANA NA AREIA,ultimate,597,2020-08-14 03:08:07.211000+00:00,ngoma_capoeira_angola,,,,,,,
Caribou.,Caribou - Can't Do Without You (Single),indie,25000,2020-08-11 02:59:16.024000+00:00,cariboumusic,,,,,,,
Carlo Kou,FREE PACK AGOSTO 2020 - CARLO KOU FT. AARON ROMERO,ultimate,3969,2020-08-16 19:11:13.570000+00:00,giancarlo_kou,,,,,,,
Carlos Evelio,RADIO SHACK VERANO 2014,indie,174,2020-08-11 02:52:27.798000+00:00,,,,,,,,
Cashh,Wag1 (feat. WSTRN),rap,16500,2020-08-12 19:29:56.509000+00:00,thenameiscashh,,,,,,,
Cassyette,Suck It,ultimate,24,2020-08-13 14:58:25.270000+00:00,cassyette,68,"35,336","1,154",4.61%,"1,607.60",20.85,1629
Cast,Walkaway,indie,628,2020-08-11 14:21:18+00:00,,,,,,,,
Catatonia,Road Rage,indie,12000,2020-08-11 14:20:54.339000+00:00,atonia,,,,,,,
